Title,Page_URL
Golf Bit,https://dnrweqffuwjtx.cloudfront.net/golf-bit/
Cluster Rush,https://dnrweqffuwjtx.cloudfront.net/cluster-rush/
Velocity Rush,https://dnrweqffuwjtx.cloudfront.net/velocity-rush/
Snaker io,https://dnrweqffuwjtx.cloudfront.net/snaker-io/
Jungle Mart,https://dnrweqffuwjtx.cloudfront.net/jungle-mart/
Geometry Vector,https://dnrweqffuwjtx.cloudfront.net/geometry-vector/
Backflip Challenge,https://dnrweqffuwjtx.cloudfront.net/backflip-challenge/
Run 3 Nova,https://dnrweqffuwjtx.cloudfront.net/run-3-nova/
Steal Brainrot Heist,https://dnrweqffuwjtx.cloudfront.net/steal-brainrot-heist/
Steal Brainrot Duel,https://dnrweqffuwjtx.cloudfront.net/steal-brainrot-duel/
Chess,https://dnrweqffuwjtx.cloudfront.net/chess/
Fast Food Manager,https://dnrweqffuwjtx.cloudfront.net/fast-food-manager/
Papa's Wingeria,https://dnrweqffuwjtx.cloudfront.net/papas-wingeria/
Papa's Donuteria,https://dnrweqffuwjtx.cloudfront.net/papas-donuteria/
Papa's Bakeria,https://dnrweqffuwjtx.cloudfront.net/papas-bakeria/
Papa's Scooperia,https://dnrweqffuwjtx.cloudfront.net/papas-scooperia/
BFF Black Friday Collection,https://dnrweqffuwjtx.cloudfront.net/bffs-black-friday-collection/
Papa's Sushiria,https://dnrweqffuwjtx.cloudfront.net/papas-sushiria/
Papa's Cheeseria,https://dnrweqffuwjtx.cloudfront.net/papas-cheeseria/
Papa's Hot Doggeria,https://dnrweqffuwjtx.cloudfront.net/papas-hot-doggeria/
Run 3,https://dnrweqffuwjtx.cloudfront.net/run-3/
Papa's Pancakeria,https://dnrweqffuwjtx.cloudfront.net/papas-pancakeria/
Papa's Cupcakeria,https://dnrweqffuwjtx.cloudfront.net/papas-cupcakeria/
Papa's Taco Mia,https://dnrweqffuwjtx.cloudfront.net/papas-taco-mia/
Papa's Pizzeria,https://dnrweqffuwjtx.cloudfront.net/papas-pizzeria/
Papa's Freezeria,https://dnrweqffuwjtx.cloudfront.net/papas-freezeria/
Flappy Bird,https://dnrweqffuwjtx.cloudfront.net/flappy-bird/
Capy Clicker,https://dnrweqffuwjtx.cloudfront.net/capy-clicker/
Cookie Clicker,https://dnrweqffuwjtx.cloudfront.net/cookie-clicker/
